cyear,year,country,ccode,abbrev,mideast,coldwar,opec_me,warsaw,civwar,us_s3un,cap,majpow,milper,def_eff,pop,rgdpc_k,rgdp,otherallies,polity2,us_indally,mid2,us_indexmilperpop1995,us_SH1995,us_indexreltradep1995,us_indexexchangerate1995,us_EH1995
201988,1988,Canada,20,CAN,0,1,0,0,0,0.14388489723205566,0.011574000120162964,0,88,0.01784391887485981,26798.30078125,22631.0703125,606474.25,15,10,1,1,0.006772201973944902,0.5033860802650452,0.7511709928512573,0.3333333432674408,0.8133784532546997
201989,1989,Canada,20,CAN,0,1,0,0,0,0.05128205195069313,0.012237999588251114,0,88,0.017889119684696198,27286.19921875,22834.990234375,623080.0625,45,10,1,1,0.0068757254630327225,0.503437876701355,0.7472416162490845,0.3333333432674408,0.8104314208030701
201990,1990,Canada,20,CAN,0,1,0,0,0,0.12790697813034058,0.011303000152111053,0,87,0.018882310017943382,27700.900390625,22349.75,619108.1875,46,10,1,1,0.006883417256176472,0.5034416913986206,0.7727592587471008,0.3333333432674408,0.8295696377754211
201991,1991,Canada,20,CAN,0,1,0,0,0,0.18918919563293457,0.011957000009715557,0,86,0.02090323157608509,28030.900390625,21460,601543.125,47,10,1,1,0.0062314667738974094,0.503115713596344,0.7678277492523193,0.3333333432674408,0.8258710503578186
201992,1992,Canada,20,CAN,0,0,0,0,0,0.1599999964237213,0.012426000088453293,0,82,0.01848692074418068,28376.5,21313.189453125,604793.75,47,10,1,1,0.006155573297291994,0.5030778050422668,0.8121966123580933,0.3333333432674408,0.8591477274894714
201993,1993,Canada,20,CAN,0,0,0,0,0,0.2153846174478531,0.012659000232815742,0,76,0.01654733158648014,28703.099609375,21608.26953125,620224.3125,47,10,1,1,0.006488861050456762,0.5032444596290588,0.8775701522827148,0.3333333432674408,0.9081778526306152
201994,1994,Canada,20,CAN,0,0,0,0,0,0.23529411852359772,0.012443999759852886,0,75,0.015638863667845726,29036,22510.220703125,653606.75,47,10,1,1,0.003306909231469035,0.5016534328460693,0.949547290802002,0.3333333432674408,0.9621607661247253
201995,1995,Canada,20,CAN,0,0,0,0,0,0.07594936341047287,0.01221999991685152,0,70,0.013847826980054379,29353.900390625,22946.810546875,673578.375,47,10,1,1,0.0024823208805173635,0.501241147518158,1,0.3333333432674408,1.000000238418579
201996,1996,Canada,20,CAN,0,0,0,0,0,0.28947368264198303,0.012140999548137188,0,66,0.012587029486894608,29671.900390625,23090.859375,685149.6875,47,10,1,0,0.0023868654388934374,0.5011934041976929,1.0276964902877808,0.3333333432674408,1.0207726955413818
201997,1997,Canada,20,CAN,0,0,0,0,0,0.17142857611179352,0.012413999997079372,0,61,0.010656342841684818,29987,24080.0390625,722088.125,50,10,1,1,0.002032497199252248,0.5010162591934204,1.0566593408584595,0.3333333432674408,1.042494773864746
201998,1998,Canada,20,CAN,0,0,0,0,0,0.12903225421905518,0.012462999671697617,0,60,0.01017479132860899,30248,24792.689453125,749929.25,50,10,1,1,0.0017560541164129972,0.5008780360221863,1.060408592224121,0.3333333432674408,1.04530668258667
201999,1999,Canada,20,CAN,0,0,0,0,0,0.1617647111415863,0.012594999745488167,0,60,0.010396923869848251,30493,25897.380859375,789688.8125,50,10,1,1,0.0016749468632042408,0.5008374452590942,1.0915807485580444,0.3333333432674408,1.0686858892440796
202000,2000,Canada,20,CAN,0,0,0,0,0,0.1492537260055542,0.012364000082015991,0,59,0.009417424909770489,30750,26904.5,827313.375,50,10,1,1,0.0017273861449211836,0.5008636713027954,1.109476923942566,0.3333333432674408,1.0821080207824707
NA,1950,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1951,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1952,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1953,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1954,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1955,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1956,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1957,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1958,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1959,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1960,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1961,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1962,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1963,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1964,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1965,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1966,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1967,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1968,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1969,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1970,Bahamas,31,BHM,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
